feature,importance
lmp_mean_4h,0.1054234
lmp_mean_60m,0.057868205
lmp_lag_12,0.04321518
hour_sin,0.04040031
lmp_range_4h,0.035086185
lmp_lag_1,0.031178478
day_of_week,0.030146947
zone_NP15,0.029588474
lmp_slope_60m,0.029357305
lmp_min_across_zones,0.0284926
hour_of_day,0.028181996
zone_SP15,0.026232274
lmp_std_4h,0.024575967
nuclear_mw_60m_mean,0.024508648
loss_60m_mean,0.023194117
lmp_mean_24h,0.021750564
lmp_min_24h,0.02120361
lmp_std_60m,0.021124989
lmp_max_across_zones_60m,0.020339739
imports_mw_60m_mean,0.0188671
lmp_lag_48,0.018475134
Loss,0.018360727
lmp_spread_np_sp,0.018047594
Congestion,0.017887214
lmp_spread_np_zp,0.017828789
batteries_mw_60m_mean,0.017242283
lmp_pct_change_60m,0.016834255
congestion_60m_mean,0.015425174
lmp_spread_sp_zp,0.01537594
lmp_std_24h,0.014648656
wind_mw_60m_mean,0.014041707
natural_gas_mw_60m_mean,0.014035533
solar_mw_60m_mean,0.013949141
large_hydro_mw_60m_mean,0.013377761
hour_cos,0.01315804
zone_NP15,0.0119833145
lmp_mean_across_zones,0.011979647
energy_60m_mean,0.010466417
Energy,0.010463819
zone_ZP26,0.009618054
lmp_max_across_zones,0.008821501
lmp_max_24h,0.008607119
lmp_pct_change_5m,0.00732508
month,0.006716398
is_weekend,0.0051712454
month_cos,0.0051474296
month_sin,0.0042759343
ghg_nonzero_pct_60m,0.0
ghg_60m_mean,0.0
zone_SP15,0.0
zone_ZP26,0.0
